product_id,product_name,category,is_subscription,billing_cycle,base_price_usd,first_release_date,vendor,resale_model,brand_safe_name,product_name_orig,base_price_usd_orig,base_key,product_version
PROD0028,Zoom Whiteboard Add‑on Annual,Add-on,TRUE,Annual,70.0,01-02-2024,Zoom,Direct resale,Video Meeting Pro Whiteboard Add‑on Annual,Zoom Whiteboard Add‑on Annual,70.0,Zoom Whiteboard Add‑On,v4.0
PROD0029,Slack Huddles Add‑on Monthly,Add-on,TRUE,Monthly,5.0,01-02-2024,Slack,Direct resale,Team Chat Pro Huddles Add‑on Monthly,Slack Huddles Add‑on Monthly,5.0,Slack Huddles Add‑On,v4.0
PROD0030,Slack Huddles Add‑on Annual,Add-on,TRUE,Annual,50.0,01-02-2024,Slack,Direct resale,Team Chat Pro Huddles Add‑on Annual,Slack Huddles Add‑on Annual,50.0,Slack Huddles Add‑On,v4.0
PROD0031,Advanced Reports Add‑on Monthly,Add-on,TRUE,Monthly,12.0,01-02-2024,Other,Affiliate,Advanced Reports Add‑on Monthly,Advanced Reports Add‑on Monthly,12.0,Advanced Reports Add‑On,v4.0
PROD0032,Advanced Reports Add‑on Annual,Add-on,TRUE,Annual,120.0,01-02-2024,Other,Affiliate,Advanced Reports Add‑on Annual,Advanced Reports Add‑on Annual,120.0,Advanced Reports Add‑On,v4.0
PROD0033,AI Assistant Add‑on Monthly,Add-on,TRUE,Monthly,9.0,01-02-2024,AI Tools,Marketplace,AI Assistant Add‑on Monthly,AI Assistant Add‑on Monthly,9.0,Ai Assistant Add‑On,v4.0
PROD0034,AI Assistant Add‑on Annual,Add-on,TRUE,Annual,90.0,01-02-2024,AI Tools,Marketplace,AI Assistant Add‑on Annual,AI Assistant Add‑on Annual,90.0,Ai Assistant Add‑On,v4.0
PROD0035,Miro Business Monthly,Collaboration,TRUE,Monthly,16.0,01-02-2024,Other,Affiliate,Miro Business Monthly,Miro Business Monthly,16.0,Miro Business,v4.0
PROD0036,Miro Business Annual,Collaboration,TRUE,Annual,160.0,01-02-2024,Other,Affiliate,Miro Business Annual,Miro Business Annual,160.0,Miro Business,v4.0
PROD0037,Asana Premium Monthly,Project Management,TRUE,Monthly,12.5,01-02-2024,Atlassian,Direct resale,Asana Premium Monthly,Asana Premium Monthly,12.5,Asana Premium,v4.0
PROD0038,Asana Premium Annual,Project Management,TRUE,Annual,125.0,01-02-2024,Atlassian,Direct resale,Asana Premium Annual,Asana Premium Annual,125.0,Asana Premium,v4.0
PROD0039,Tableau Creator Monthly,Analytics,TRUE,Monthly,25.0,01-02-2024,Tableau,Marketplace,Viz Pro Creator Monthly,Tableau Creator Monthly,25.0,Tableau Creator,v4.0
PROD0040,Tableau Creator Annual,Analytics,TRUE,Annual,250.0,01-02-2024,Tableau,Marketplace,Viz Pro Creator Annual,Tableau Creator Annual,250.0,Tableau Creator,v4.0
PROD0041,Canva Pro Monthly,Design,TRUE,Monthly,12.0,01-02-2024,Canva,Marketplace,Design Pro Pro Monthly,Canva Pro Monthly,12.0,Canva Pro,v4.0
PROD0042,Canva Pro Annual,Design,TRUE,Annual,120.0,01-02-2024,Canva,Marketplace,Design Pro Pro Annual,Canva Pro Annual,120.0,Canva Pro,v4.0
PROD0043,Dropbox Standard Monthly,File Storage,TRUE,Monthly,10.0,01-02-2024,Dropbox,Direct resale,File Cloud Standard Monthly,Dropbox Standard Monthly,10.0,Dropbox Standard,v4.0
PROD0044,Dropbox Standard Annual,File Storage,TRUE,Annual,100.0,01-02-2024,Dropbox,Direct resale,File Cloud Standard Annual,Dropbox Standard Annual,100.0,Dropbox Standard,v4.0
PROD0045,Monday.com Standard Monthly,Project Management,TRUE,Monthly,15.0,01-02-2024,Atlassian,Direct resale,Monday.com Standard Monthly,Monday.com Standard Monthly,15.0,Monday.Com Standard,v4.0
PROD0046,Monday.com Standard Annual,Project Management,TRUE,Annual,150.0,01-02-2024,Atlassian,Direct resale,Monday.com Standard Annual,Monday.com Standard Annual,150.0,Monday.Com Standard,v4.0
PROD0047,Freshdesk Growth Monthly,Support,TRUE,Monthly,9.0,01-02-2024,Zendesk,Direct resale,Support Desk Growth Monthly,Freshdesk Growth Monthly,9.0,Freshdesk Growth,v4.0
PROD0048,Freshdesk Growth Annual,Support,TRUE,Annual,90.0,01-02-2024,Zendesk,Direct resale,Support Desk Growth Annual,Freshdesk Growth Annual,90.0,Freshdesk Growth,v4.0
PROD0049,Zendesk Suite Team Monthly,Support,TRUE,Monthly,13.0,01-02-2024,Zendesk,Direct resale,Support Hub Suite Team Monthly,Zendesk Suite Team Monthly,13.0,Zendesk Suite Team,v4.0
PROD0050,Zendesk Suite Team Annual,Support,TRUE,Annual,130.0,01-02-2024,Zendesk,Direct resale,Support Hub Suite Team Annual,Zendesk Suite Team Annual,130.0,Zendesk Suite Team,v4.0
PROD0051,Airtable Team Monthly,Productivity,TRUE,Monthly,20.0,01-02-2024,AI Tools,Marketplace,Airtable Team Monthly,Airtable Team Monthly,20.0,Airtable Team,v4.0
PROD0052,Airtable Team Annual,Productivity,TRUE,Annual,200.0,01-02-2024,AI Tools,Marketplace,Airtable Team Annual,Airtable Team Annual,200.0,Airtable Team,v4.0
PROD0053,Datadog Pro Monthly,Monitoring,TRUE,Monthly,29.0,01-02-2024,Datadog,Direct resale,Monitor Pro Pro Monthly,Datadog Pro Monthly,29.0,Datadog Pro,v4.0
PROD0054,Datadog Pro Annual,Monitoring,TRUE,Annual,290.0,01-02-2024,Datadog,Direct resale,Monitor Pro Pro Annual,Datadog Pro Annual,290.0,Datadog Pro,v4.0
PROD0055,Cloud Storage 1TB Monthly,Infrastructure,TRUE,Monthly,6.0,01-02-2024,Other,Affiliate,Cloud Storage 1TB Monthly,Cloud Storage 1TB Monthly,6.0,Cloud Storage 1Tb,v4.0
PROD0056,Cloud Storage 1TB Annual,Infrastructure,TRUE,Annual,60.0,01-02-2024,Other,Affiliate,Cloud Storage 1TB Annual,Cloud Storage 1TB Annual,60.0,Cloud Storage 1Tb,v4.0
PROD0057,Endpoint Security Monthly,Security,TRUE,Monthly,5.0,01-02-2024,Security,Affiliate,Endpoint Security Monthly,Endpoint Security Monthly,5.0,Endpoint Security,v4.0
PROD0058,Endpoint Security Annual,Security,TRUE,Annual,50.0,01-02-2024,Security,Affiliate,Endpoint Security Annual,Endpoint Security Annual,50.0,Endpoint Security,v4.0
PROD0059,Azure AI Studio Monthly,Developer Tools,TRUE,Monthly,29.0,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly,Azure AI Studio Monthly,29.0,Azure Ai Studio,v4.0
PROD0060,Microsoft Copilot for Office Annual,AI Productivity,TRUE,Annual,225.15,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual,Microsoft Copilot for Office Annual,190.0,Microsoft Copilot For Office,v4.0
PROD0061,Notion AI Monthly,Productivity,TRUE,Monthly,10.0,01-03-2024,Notion,Marketplace,Workspace Suite AI Monthly,Notion AI Monthly,10.0,Notion Ai,v4.0
PROD0062,Microsoft Copilot for Office Annual Standard,AI Productivity,TRUE,Annual,225.15,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Standard,Microsoft Copilot for Office Annual,190.0,Microsoft Copilot For Office,v4.0
PROD0063,Notion AI Monthly Standard,Productivity,TRUE,Monthly,9.88,01-03-2024,Notion,Marketplace,Workspace Suite AI Monthly Standard,Notion AI Monthly,10.0,Notion Ai,v4.0
PROD0064,Power BI Pro Annual,Analytics,TRUE,Annual,153.78,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Annual,Power BI Pro Annual,130.0,Power Bi Pro,v4.0
PROD0065,Microsoft Copilot for Office Monthly,AI Productivity,TRUE,Monthly,19.0,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly,Microsoft Copilot for Office Monthly,19.0,Microsoft Copilot For Office,v4.0
PROD0066,Power BI Pro Annual Standard,Analytics,TRUE,Annual,153.78,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Annual Standard,Power BI Pro Annual,130.0,Power Bi Pro,v4.0
PROD0067,Microsoft Copilot for Office Monthly Standard,AI Productivity,TRUE,Monthly,18.92,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Standard,Microsoft Copilot for Office Monthly,19.0,Microsoft Copilot For Office,v4.0
PROD0068,Adobe Firefly Creative AI Annual,Design,TRUE,Annual,234.95,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual,Adobe Firefly Creative AI Annual,200.0,Adobe Firefly Creative Ai,v4.0
PROD0069,Power BI Pro Monthly,Analytics,TRUE,Monthly,13.0,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Monthly,Power BI Pro Monthly,13.0,Power Bi Pro,v4.0
PROD0070,Adobe Firefly Creative AI Annual Standard,Design,TRUE,Annual,234.95,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Standard,Adobe Firefly Creative AI Annual,200.0,Adobe Firefly Creative Ai,v4.0
PROD0071,Power BI Pro Monthly Standard,Analytics,TRUE,Monthly,13.07,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Standard,Power BI Pro Monthly,13.0,Power Bi Pro,v4.0
PROD0072,ChatGPT Team Annual,AI Tools,TRUE,Annual,267.4,01-03-2024,AI Tools,Marketplace,AI Assistant Team Annual,ChatGPT Team Annual,250.0,Chatgpt Team,v4.0
PROD0073,Adobe Firefly Creative AI Monthly,Design,TRUE,Monthly,20.0,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly,Adobe Firefly Creative AI Monthly,20.0,Adobe Firefly Creative Ai,v4.0
PROD0074,ChatGPT Team Annual Standard,AI Tools,TRUE,Annual,267.4,01-03-2024,AI Tools,Marketplace,AI Assistant Team Annual Standard,ChatGPT Team Annual,250.0,Chatgpt Team,v4.0
PROD0075,Adobe Firefly Creative AI Monthly Standard,Design,TRUE,Monthly,20.12,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Standard,Adobe Firefly Creative AI Monthly,20.0,Adobe Firefly Creative Ai,v4.0
PROD0076,Azure AI Studio Annual,Developer Tools,TRUE,Annual,316.27,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual,Azure AI Studio Annual,290.0,Azure Ai Studio,v4.0
PROD0077,ChatGPT Team Monthly,AI Tools,TRUE,Monthly,25.0,01-03-2024,AI Tools,Marketplace,AI Assistant Team Monthly,ChatGPT Team Monthly,25.0,Chatgpt Team,v4.0
PROD0078,Azure AI Studio Annual Standard,Developer Tools,TRUE,Annual,316.27,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual Standard,Azure AI Studio Annual,290.0,Azure Ai Studio,v4.0
PROD0079,ChatGPT Team Monthly Standard,AI Tools,TRUE,Monthly,24.57,01-03-2024,AI Tools,Marketplace,AI Assistant Team Monthly Standard,ChatGPT Team Monthly,25.0,Chatgpt Team,v4.0
PROD0080,Notion AI Annual,Productivity,TRUE,Annual,118.1,01-03-2024,Notion,Marketplace,Workspace Suite AI Annual,Notion AI Annual,100.0,Notion Ai,v4.0
PROD0081,Azure AI Studio Monthly Standard,Developer Tools,TRUE,Monthly,29.18,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly Standard,Azure AI Studio Monthly,29.0,Azure Ai Studio,v4.0
PROD0082,Notion AI Annual Standard,Productivity,TRUE,Annual,118.1,01-03-2024,Notion,Marketplace,Workspace Suite AI Annual Standard,Notion AI Annual,100.0,Notion Ai,v4.0
PROD0083,Azure AI Studio Monthly Pro,Developer Tools,TRUE,Monthly,36.7,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly Pro,Azure AI Studio Monthly,29.0,Azure Ai Studio,v4.0
PROD0084,Microsoft Copilot for Office Annual Pro,AI Productivity,TRUE,Annual,225.15,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Pro,Microsoft Copilot for Office Annual,190.0,Microsoft Copilot For Office,v4.0
PROD0085,Notion AI Monthly Pro,Productivity,TRUE,Monthly,12.4,01-03-2024,Notion,Marketplace,Workspace Suite AI Monthly Pro,Notion AI Monthly,10.0,Notion Ai,v4.0
PROD0086,Microsoft Copilot for Office Annual Business,AI Productivity,TRUE,Annual,225.15,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Business,Microsoft Copilot for Office Annual,190.0,Microsoft Copilot For Office,v4.0
PROD0087,Notion AI Monthly Business,Productivity,TRUE,Monthly,14.96,01-03-2024,Notion,Marketplace,Workspace Suite AI Monthly Business,Notion AI Monthly,10.0,Notion Ai,v4.0
PROD0088,Power BI Pro Annual Pro,Analytics,TRUE,Annual,153.78,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Annual Pro,Power BI Pro Annual,130.0,Power Bi Pro,v4.0
PROD0089,Microsoft Copilot for Office Monthly Pro,AI Productivity,TRUE,Monthly,23.45,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Pro,Microsoft Copilot for Office Monthly,19.0,Microsoft Copilot For Office,v4.0
PROD0090,Power BI Pro Annual Business,Analytics,TRUE,Annual,153.78,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Annual Business,Power BI Pro Annual,130.0,Power Bi Pro,v4.0
PROD0091,Microsoft Copilot for Office Monthly Business,AI Productivity,TRUE,Monthly,28.69,01-03-2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Business,Microsoft Copilot for Office Monthly,19.0,Microsoft Copilot For Office,v4.0
PROD0092,Adobe Firefly Creative AI Annual Pro,Design,TRUE,Annual,234.95,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Pro,Adobe Firefly Creative AI Annual,200.0,Adobe Firefly Creative Ai,v4.0
PROD0093,Power BI Pro Monthly Pro,Analytics,TRUE,Monthly,15.81,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Pro,Power BI Pro Monthly,13.0,Power Bi Pro,v4.0
PROD0094,Adobe Firefly Creative AI Annual Business,Design,TRUE,Annual,234.95,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Business,Adobe Firefly Creative AI Annual,200.0,Adobe Firefly Creative Ai,v4.0
PROD0095,Power BI Pro Monthly Business,Analytics,TRUE,Monthly,19.63,01-03-2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Business,Power BI Pro Monthly,13.0,Power Bi Pro,v4.0
PROD0096,ChatGPT Team Annual Pro,AI Tools,TRUE,Annual,267.4,01-03-2024,AI Tools,Marketplace,AI Assistant Team Annual Pro,ChatGPT Team Annual,250.0,Chatgpt Team,v4.0
PROD0097,Adobe Firefly Creative AI Monthly Pro,Design,TRUE,Monthly,24.48,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Pro,Adobe Firefly Creative AI Monthly,20.0,Adobe Firefly Creative Ai,v4.0
PROD0098,ChatGPT Team Annual Business,AI Tools,TRUE,Annual,267.4,01-03-2024,AI Tools,Marketplace,AI Assistant Team Annual Business,ChatGPT Team Annual,250.0,Chatgpt Team,v4.0
PROD0099,Adobe Firefly Creative AI Monthly Business,Design,TRUE,Monthly,29.38,01-03-2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Business,Adobe Firefly Creative AI Monthly,20.0,Adobe Firefly Creative Ai,v4.0
PROD0100,Azure AI Studio Annual Pro,Developer Tools,TRUE,Annual,316.27,01-03-2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual Pro,Azure AI Studio Annual,290.0,Azure Ai Studio,v4.0
PROD0101,ChatGPT Team Monthly Pro,AI Tools,TRUE,Monthly,30.65,01-03-2024,AI Tools,Marketplace,AI Assistant Team Monthly Pro,ChatGPT Team Monthly,25.0,Chatgpt Team,v4.0
